,GSM1377859,GSM1377860,GSM1377861,GSM1377862,GSM1377863,GSM1377864,GSM1377865,GSM1377866,GSM1377867,GSM1377868,GSM1377869,GSM1377870,GSM1377871,GSM1377872,GSM1377873,GSM1377874,GSM1377875,GSM1377876,GSM1377877,GSM1377878,GSM1377879,GSM1377880,GSM1377881,GSM1377882,GSM1377883,GSM1377884,GSM1377885,GSM1377886,GSM1377887,GSM1377888,GSM1377889,GSM1377890,GSM1377891,GSM1377892,GSM1377893,GSM1377894,GSM1377895,GSM1377896,GSM1377897,GSM1377898,GSM1377899,GSM1377900,GSM1377901,GSM1377902,GSM1377903,GSM1377904,GSM1377905,GSM1377906,GSM1377907
ENSMUSG00000079010,0,0,0,0,0,0,0,0,0,0,0,0,2.88205356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.457842551,3.266854695,2.996611478,3.385609848,3.525254773,0,0,0,0,3.083570697,0,3.314671817,0,3.675347498,3.00550654,0,0,0,0,0
ENSMUSG00000088604,0,0,0,0,0,0,0,0,0,2.533501334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326333812,0,0,0,2.745380096,2.761715147,0,2.909958047,2.509590928,2.977525613,2.748145371,3.21079991,2.829658784,0,3.124634624,2.02768794,0,0,0,0,3.077564111,3.275863951,0,3.297723316
ENSMUSG00000093044,0,0,0,0,0,0,0,0,0,0,2.459252224,2.939112723,2.924023804,0,0,0,0,0,0,0,0,2.842500652,2.538038075,0,3.240906022,0,0,0,3.225298941,2.731105051,3.245213988,2.882352038,0,2.916290202,2.674322759,2.608554914,2.534394211,0,0,0,2.592538704,0,0,0,0,0,0,0,0
ENSMUSG00000085300,0,0,0,0,0,0,0,0,0,2.306307055,2.33342309,1.774202262,0,2.127036732,2.53989371,2.635108604,2.504450473,2.51506541,2.497612364,2.806697426,3.138615278,2.913822326,3.057266613,2.914980642,2.718970607,3.045796141,2.327068626,2.567042843,1.574603002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094411,0,0,0,0,0,0,0,0,0,3.324854277,0,0,0,0,3.185397649,0,0,0,0,0,0,2.979679008,0,0,0,0,0,0,0,0,0,0,0,3.288164237,0,0,0,0,0,0,3.211312806,3.485870424,0,3.503812465,0,0,3.135911456,3.196571321,0
ENSMUSG00000088856,0,0,0,0,0,0,0,0,0,0,2.496954543,2.188284295,1.432401613,2.820135095,2.44369472,0,2.492436293,2.724856453,0,0,2.380287237,0,0,0,0,0,2.571429303,2.747354313,2.411831751,2.498089904,2.715307916,1.907093586,2.757661687,0,1.965407272,2.707730239,2.512517636,2.653285855,2.879595289,2.929812167,2.779073869,2.809670126,2.616885983,0,2.152208818,3.029975962,2.674536906,2.074553152,2.438219474
ENSMUSG00000093355,0,0,0,0,0,0,0,0,0,2.950867021,2.81909625,2.745778778,2.064218312,3.14500362,3.015221396,1.864385877,2.451663649,2.72870189,2.459772329,2.332866483,2.20314988,2.181969287,0,2.22324926,2.185544988,0,2.584047257,0,2.452180651,2.929968854,2.993619169,2.588213423,2.573254634,3.136894884,3.119377976,2.839074362,3.167898959,3.209042932,3.128954707,3.300180119,2.785104798,3.191713636,2.768267276,2.945196204,2.689140082,3.064757399,3.284164435,3.518374417,3.278755887
ENSMUSG00000092819,2.079600861,0,0,0,2.201249603,0,2.865560544,0,0,2.540550946,2.478578038,2.936044008,3.061426089,3.170070936,2.814794116,2.655269088,3.060047801,2.721616087,2.761567029,0,2.429839453,2.724958732,2.391561381,0,2.397696736,2.006756901,0,1.828132495,0,2.587681787,3.183967003,2.934256997,3.181460554,2.777948532,3.239309492,3.291874788,2.847009686,3.242916429,3.106252109,2.713657677,3.379087863,3.044324127,3.099594326,2.684832799,0,3.487275574,3.31778137,3.517160255,3.477125598
ENSMUSG00000064884,0,0,0,0,0,0,3.223558238,0,0,0,2.913089248,0,0,0,0,2.615942691,0,2.987401676,0,0,0,0,0,0,0,3.087383842,0,0,0,0,0,3.22056046,0,0,2.843554174,0,0,0,0,0,0,0,2.812373828,0,0,2.797598504,3.156936633,2.735737788,0
ENSMUSG00000065147,0,0,0,0,0,0,0,2.393027384,0,0,2.372514331,2.558734963,0,2.786284233,2.50619916,2.077752966,2.810859305,2.682652209,2.34020608,2.667648108,1.858481855,2.828246024,0,2.198810987,2.875482614,0,0,2.516104171,2.515449935,2.333261828,2.356910763,2.513812682,0,2.222729474,2.452162252,1.943403492,2.345061868,2.963294245,3.161942688,2.717035237,2.51872051,2.587997034,1.974583071,2.904600872,0,0,0,2.67996725,0
ENSMUSG00000089197,2.758601571,2.498007131,2.79870933,2.357328698,2.441251976,2.924332536,0,2.483657178,2.797860049,2.244850852,0,0,0,0,2.030615912,2.813280681,2.483863902,0,2.534102291,0,0,2.200962613,2.870101198,2.018912602,0,2.050070264,0,2.825429364,2.144683157,1.943525677,0,2.380466315,1.995816771,0,2.451075329,0,0,3.094722618,0,0,2.290628854,0,0,2.54430126,0,1.64E-07,2.945764907,2.261412764,1.385069776
ENSMUSG00000064672,0,1.965128293,1.690394569,0,0,0,2.142232992,0,0,3.070233717,2.662390414,2.343254939,1.715929006,2.896244496,2.561026211,2.463574987,0,2.668934496,2.542692256,2.045698422,2.87712994,1.953258926,0,2.711170078,1.806147401,0,2.404469372,2.395942881,0,0,0,0,0,2.571978872,0,1.894377546,0,2.578003919,2.905430488,0,2.578992003,0,0,0,0,0,0,2.16503351,0
ENSMUSG00000064634,0,0,0,0,0,0,0,0,0,2.565807692,2.833786285,2.369147181,0,2.878976533,2.278449488,2.629877284,0,0,2.62789611,1.905345707,2.602842102,2.030644242,2.580736855,2.054421524,0,0,1.527672426,2.654921233,1.888561932,2.710266337,2.623400233,2.410365513,2.454292879,2.816609134,2.350339133,2.747030176,0,1.900500401,1.873379318,3.223321981,1.793527774,2.910313779,0,2.779253682,0,2.608856442,2.179045969,2.919817856,2.864648111
ENSMUSG00000077380,2.799286776,2.257551387,2.788749399,2.240983326,3.100436029,2.823141534,0,0,3.187311984,2.434565711,0,0,0,2.297257007,0,0,0,2.618733009,2.470398729,2.108443242,0,0,0,0,0,2.981833099,0,0,0,2.448488345,0,0,0,0,0,0,0,0,0,0,2.497076232,0,0,0,0,0,0,0,0
ENSMUSG00000089542,0,0,0,0,0,0,0,0,0,1.734543816,2.535220676,2.189928037,1.502060956,2.194200649,2.785477897,2.791097386,2.385352414,2.386111763,2.540152968,0,0,0,1.599360076,1.670217085,0,0,0,0,1.828131205,2.947738993,2.77320041,2.859962854,2.720612388,2.811422172,2.490857059,2.439586879,2.789307077,2.647429918,2.496351126,3.062980375,2.357490802,2.803268607,2.718220926,2.789563791,1.609879222,3.02370093,2.736219561,2.542669849,2.675457542
ENSMUSG00000065336,0,0,0,0,0,0,1.917215008,0,0,0,0,0,1.759065457,2.45473513,0,0,0,2.551281615,1.864894776,2.334873768,2.65245425,2.206601927,2.630974721,2.90402976,3.049566869,0,1.995045646,2.446481246,0,2.080525476,0,2.142082723,0,0,2.480006943,2.296963391,0,2.823332049,2.500255691,2.5363905,1.960529282,2.404073892,2.30388045,2.594215702,2.29634264,0,0,2.684492578,0
ENSMUSG00000077614,0,0,0,0,0,0,0,0,0,2.229430969,0,0,0,0,0,0,2.048142589,2.594691922,0,0,0,1.967374785,0,2.167098655,0,0,2.633321983,0,0,0,0,0,0,2.679228875,0,2.213732859,2.619274945,0,2.855642703,2.211400899,3.230637926,2.999925295,0,0,2.13472521,0,2.587295549,2.863413874,2.488749488
ENSMUSG00000065887,0,0,0,0,3.44E-10,2.28E-11,2.37665359,0.002680074,2.26072949,0,0,0,0,0,0,2.497699354,0,0,0,0,0,0,0,0,0,0,0,1.730228965,0,2.371826752,3.483966515,0,2.865493066,2.257008621,3.500306472,0.01434103,2.433627445,0,0,0,0,0,0,2.950832978,0,0,0.000381959,3.642045853,2.03E-08
ENSMUSG00000064938,0,0,1.642061696,1.899755408,2.322088987,0,0,2.012579945,0,2.361232836,2.17315129,1.588091227,2.351817557,3.01412975,0,2.538015427,0,2.465692102,1.807397683,2.731783711,2.881777114,2.800886777,0,0,2.445415812,3.081656893,2.776201967,2.549828128,2.754244337,2.246793919,2.490292856,0,2.47319637,0,2.851290155,2.326393217,2.256359293,0,0,0,0,0,1.894176446,0,2.474462489,0,2.239229386,2.810486566,1.824804418
ENSMUSG00000089177,0,0,0,0,0,0,2.328734234,0,0,2.143982292,2.446925311,0,2.221022805,2.816415646,2.611547006,0,2.273549874,2.030559245,0,0,2.009714282,1.855742,1.980068397,2.051472817,1.995965834,0,2.859502759,0,0,2.260278941,0,0,2.18264572,2.742390446,2.500047013,0,0,0,3.160747566,0,2.583562612,2.08779561,2.476045769,0,0,0,0,2.390839764,0
ENSMUSG00000092730,0,0,2.48676475,0,0,0,0,0,0,0,0,0,1.814456034,2.211440936,1.880705005,0,2.152664366,0,0,0,2.2571696,2.463597389,2.916046837,2.891783247,0,0,0,0,0,0,2.209123437,2.414247805,2.463349408,0,2.019564899,2.443305241,2.197517632,0,0,0,2.922744656,2.71198597,0,0,0,2.017596721,2.681877736,2.423493269,2.250539539
ENSMUSG00000064602,0,0,0,0,2.297764887,0,2.384665177,0,0,2.312858318,0,0,2.623931217,2.198247338,1.992208773,0,2.124432489,2.425646692,0,0,0,2.075663731,1.741439194,0,0,1.835672185,1.579444028,0,2.812001718,0,0,2.567777787,0,0,0,1.828982598,2.856923343,2.186340319,2.814815404,2.778156317,2.58629918,2.623539757,0,0,0,0,2.222305387,0,2.790977231
ENSMUSG00000080542,0,2.202711673,2.23140332,2.194303387,2.312653296,0,2.397274159,0,0,2.655724145,3.070048955,3.048573859,2.553493443,2.956562192,2.98145662,3.105704297,2.693857921,3.235412283,2.878279879,0,2.929846368,2.852681235,0,2.817951898,0,3.252272775,2.720264349,0,0,3.12023821,2.909374144,3.172340174,2.845999815,2.71310564,2.778931555,3.27126061,2.751363029,3.253919261,3.130713208,3.27533209,2.593997859,2.98829268,2.949616366,3.244536877,0,3.109527927,2.347087914,3.045448163,3.215190616
ENSMUSG00000089255,0,0,0,0,0,0,0,0,0,0,2.445602647,2.849677948,2.873301416,3.063352127,2.838507815,2.920385807,2.971583365,2.629731632,2.071259563,2.300884483,2.518767862,2.454556759,2.481747817,2.078112291,2.009710035,2.938776823,1.833609221,1.901388567,2.534983799,2.672762651,3.043715858,2.670791163,2.431206103,2.933304015,2.93962407,2.790956851,2.730066473,3.232696318,3.061791639,3.060078057,3.037569911,3.16700997,3.095866453,3.154296131,0,3.172506605,2.780418132,3.06180294,3.150203629
ENSMUSG00000088059,0,0,0,0,0,0,0,0,0,0,0,0,0,2.191286097,0,1.52970491,2.123207886,0,0,0,0,0,0,0,0,3.081739652,2.605820936,2.355792385,2.121851902,1.779294833,2.321979332,2.500272161,2.701137795,0,2.623804212,2.683167759,1.914990678,2.058528512,0,0,0,2.341284128,2.325168664,2.606533986,2.392246601,0,3.023034228,0,1.964382215
ENSMUSG00000084453,0,0,0,0,0,0,0,0,0,0,0,2.978369994,0,2.68444498,0,0,0,2.69135472,0,0,0,0,0,0,0,0,0,0,0,3.191716429,2.707462015,3.21477764,0,0,3.138807765,2.767631474,2.694709593,3.179201227,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077222,0,2.268631787,0,1.958355525,2.077098886,0,2.885655174,2.53708458,0,2.694146974,0,2.410750247,0,2.419988773,2.264569921,2.790835953,2.451889242,2.605203735,2.548299724,0,2.144683157,1.673905192,1.811474463,0,2.11943076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934309543,0,2.730489957,0,0,0,0,0,0
ENSMUSG00000065282,0,0,0,0,2.139759482,0,0,0,0,2.047512398,2.456668112,2.566748517,2.853524216,2.908139054,2.478687677,0,2.562464169,2.967041784,2.433813021,3.110865686,3.287331363,0,0,2.297421257,3.151581276,2.027911991,2.781039815,2.913580224,2.146555915,2.335734638,2.663506816,2.956355752,2.270655549,2.833829585,2.009569864,2.851504175,1.880220604,2.998747863,3.217310192,2.870808746,2.268816581,2.409742127,0,3.12162221,2.382463722,2.307258502,2.941745412,2.641913141,3.297736444
ENSMUSG00000065124,0,0,0,0,0,0,2.986772182,0,0,1.840741381,2.178502128,0,0,2.384525449,0,2.494893102,0,1.884098915,0,0,0,2.616507021,0,0,2.195921782,0,0,0,2.387436101,2.751943128,0,2.33230108,2.363230159,2.420846542,2.103085002,2.396753634,2.314827509,2.13709447,2.429068818,2.427359503,1.329108932,2.517450592,2.576455381,2.539660622,2.185553487,2.425666249,2.164320134,2.362175118,2.568305003
ENSMUSG00000093030,0,0,0,0,0,0,2.970854341,0,0,0,0,2.362655856,0,1.952481499,0,0,2.658430217,1.970342691,0,0,0,0,2.285034942,0,0,0,1.815352574,1.893946423,0,2.111168384,2.806737413,2.464872404,2.047792596,0,2.382071101,2.616747454,2.793088103,2.698104027,0,0,0,1.991026166,0,2.599763024,2.262994211,2.37242591,0,2.012470238,0
ENSMUSG00000064493,0,2.092471503,2.525556584,2.078250135,0,0,2.440017549,0,0,2.340598768,0,1.754105889,0,0,0,2.176635234,2.174603426,1.94430497,1.969567796,0,1.965974556,2.478676138,0,0,1.938833825,0,2.450156695,0,2.836847992,0,2.255810215,0,0,2.475581125,0,2.02109002,0,0,2.376173496,2.323551155,2.004811291,0,0,2.600565622,2.849126304,0,2.777722535,0,2.598113925
ENSMUSG00000065817,0,0,0,0,0,0,0,0,0,2.764690105,1.811660784,2.166350175,0,2.867257066,2.439406912,0,2.710118212,2.475553521,2.747837348,0,1.904759351,2.020411008,3.066709724,2.538543573,0,0,2.645586327,0,0,0,0,0,0,0,2.594217913,2.719795171,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077505,2.213408838,0,2.796114126,2.230321169,2.644302667,2.508155189,2.996296223,2.334115835,0,2.755073338,3.126644332,2.185961232,2.951408438,2.752199848,2.937477269,2.826976162,2.577234364,3.129067645,0,2.280710369,2.059620209,2.383741781,2.035157468,0,0,2.719744665,2.34931056,1.979047783,2.251467875,0,2.11993518,2.625477081,2.677245499,2.640831117,2.512437568,2.876446478,0,0,0,2.874676598,2.140781355,2.41170218,2.891184973,0,0,2.963162371,2.664999041,0,0
ENSMUSG00000065105,0,0,0,0,1.861339622,0,2.214223741,0,0,2.588631322,1.862305539,1.562233368,6.75E-16,2.696343281,0,2.350705338,0,2.703072886,1.309236143,1.972993386,0,2.329672405,0,0,0,0,2.00337694,2.258383431,0,0,0,0,2.577505587,0,0,1.47747723,0,2.568919477,2.787841466,2.200196376,1.85E-12,2.188875072,2.438441081,0,1.984059464,0,2.481531485,2.675395187,2.921842481
ENSMUSG00000064563,0,0,1.565461739,1.805220073,2.228446558,0,3.050488026,0,0,0,2.091638824,0,0,2.149105134,0,2.462392008,0,0,2.389366345,2.356393035,1.711532229,2.420432715,2.839478676,2.515663266,0,2.757921875,1.505101117,0,0,1.826705692,1.978972576,0,2.048068725,2.493739589,2.549896695,2.521434925,2.369249263,2.422120167,2.100563522,3.048659285,2.688280078,2.885194369,2.570758866,0,0,2.259450524,2.269216309,2.719163836,2.556913702
ENSMUSG00000095531,0,0,0,0,0,0,0,0,0,2.502921224,2.787881812,2.725553927,2.521778588,2.530530097,2.414073761,0,2.690105666,2.705458296,1.798344667,1.974411743,1.495454139,2.560682398,1.775172657,1.847750905,0,1.559261284,2.16503945,0,0,0,0,2.314871682,0,2.30492977,0,0,2.345569756,2.291857046,0,0,0,2.043224697,2.113244579,2.473577469,2.0081273,0,2.648154038,0,2.364794807
ENSMUSG00000077274,0,0,0,2.198016167,0,0,0,2.301930223,0,0,1.944499945,2.622823059,0,2.317798084,2.297180335,2.4182814,2.231314093,2.604865141,2.041743927,2.215724784,0,0,2.286806638,0,2.012934192,2.072738709,0,0,0,0,0,2.135380749,0,2.143473847,0,0,0,0,0,0,0,2.381696159,0,0,0,2.930675538,2.865517335,2.565473551,2.117702061
ENSMUSG00000065389,0,0,0,0,0,0,2.752798783,0,0,2.701868347,2.809701763,2.151302417,2.408880755,2.625049943,2.366945664,2.637317579,2.337499195,2.316936467,2.630558042,2.478302376,0,0,2.855397997,2.551945007,2.951598309,3.076571271,2.776871092,2.544669436,0,3.053754341,2.646784915,2.72932762,2.766369713,2.507788429,2.255487187,2.232612441,2.723123051,2.599144799,2.915059865,2.516445465,2.931553974,2.961812969,3.02485905,2.937312732,2.980321586,3.240556736,2.812736262,3.069719884,3.162549472
ENSMUSG00000064382,0,2.228556902,2.195794524,0,1.991544146,0,2.120971852,0,0,2.852965254,2.458870418,2.49902414,2.578134723,2.139107371,2.41221519,2.184631818,2.426312774,2.494329947,2.538683048,1.009467893,0,1.920000642,0,0,1.84703254,0,2.052528502,0,0,1.256313563,0,0,2.799317111,0,2.667116595,2.173838677,2.100563522,2.253974923,2.595494017,0,2.665712291,2.120024135,0,0.066711214,0,2.531154352,0,0,2.634363391
ENSMUSG00000065226,0,0,0,0,0,0,0,0,2.580482477,0,0,2.090092206,2.338299083,2.614683178,2.407893749,2.294565419,2.71066391,2.449779138,2.605177864,2.238886265,2.729744542,2.003293762,2.55998558,2.576869785,1.680709806,2.704001149,2.670063003,2.527169588,0,1.853278921,2.178150715,0,2.478465485,2.734593431,2.408757078,2.238081247,1.694009939,2.525053882,2.80620101,3.013258665,2.785080578,2.710642772,0,2.502910311,1.991802684,0,0,2.328956241,2.72877164
ENSMUSG00000088254,2.167001101,1.896216921,1.614661031,2.185292782,0,0,0,1.990473829,0,2.101355208,2.744836489,2.134737948,2.639745395,2.754472184,2.388287745,0,2.107644047,2.54967504,2.337311476,0,1.700817899,2.255096339,0,0,0,2.053082287,2.121504036,2.100563522,1.903162182,3.223264844,3.059184618,3.152847673,3.305265362,3.184126196,3.213281288,3.308973972,3.275599253,3.409464779,2.911379229,3.033721226,3.211075133,3.286344176,2.809359691,3.179494341,2.338492351,3.437433444,3.372418541,3.356435087,3.143077284
ENSMUSG00000087963,2.267359491,0,1.998896795,2.640076768,2.665239424,0,2.321229631,2.049880592,2.422557012,2.194691908,2.570628156,1.61101767,0,2.389352171,0,1.734082612,2.433894586,0,2.300412859,0,2.148507025,1.662525516,0,0,0,0,1.639747386,0,0,2.23509899,2.086089202,0,0,2.430168616,2.362129844,2.690714265,2.079673168,0,2.803181155,2.33680783,2.158624799,2.775004999,2.749982758,0,2.093932731,0,0,0,2.980302954
ENSMUSG00000083300,0,0,0,1.279434224,0,0,0,0,0,2.836475396,2.416277612,2.512611029,2.519519548,2.327109527,1.989105271,2.234284383,2.42430982,2.693189463,2.727594931,2.249213038,0,2.46205492,1.91391394,2.217131101,0,1.636581164,1.404438568,2.40513625,0,2.798149088,0,2.108791582,2.540508412,2.635215246,2.767743436,2.551225473,2.388673013,2.687588706,2.776752744,0,2.751732412,2.873074606,3.103868689,2.913248372,2.836270934,2.917675098,2.671204326,2.941780175,2.144686269
ENSMUSG00000070063,2.062747398,0,0,2.089445858,0,0,0,2.196800501,0,0,0,0,2.124820375,2.242951181,2.607997285,2.562369008,2.341424632,1.931033031,1.977899573,0,1.906598448,0,0,2.25206136,1.899961598,0,1.727637214,0,0,0,2.319231018,2.348427539,2.399732546,0,2.120498252,2.374148716,2.302869674,0,0,0,0,2.692222778,2.387548208,2.021288555,2.272291924,2.365366291,2.95804854,2.596754293,0
ENSMUSG00000086474,2.796738723,2.866994633,2.801643775,2.836396914,2.93263203,2.898066661,0.391390348,2.6258668,2.951600736,0.941572051,1.562083401,0,1.30904859,0.645401635,0,2.01942372,2.307326994,0,1.694981424,2.102553755,2.499072313,2.42469057,2.20700657,0,0.367862613,0,1.646361569,0,0.188751638,0,0,0,0,2.208427919,0,0,0,0.169411662,0,0,1.537903428,1.557578175,0.28246282,0,0,0,0,0,0
ENSMUSG00000065799,0,0,0,0,0,0,0,0,0,0,0,0,2.22173495,2.161236196,0,2.269508274,0,2.457348916,0,0,0,1.978678004,0,0,1.826622187,2.373680539,0,0,0,0,0,1.934137231,0,1.948401228,2.019324037,0,1.892198153,2.637161383,2.617516153,2.426189081,0,2.747218313,0,0,0,2.452502507,2.317129015,2.907124782,2.398701961
ENSMUSG00000064927,0,0,0,0,0,0,0,0,0,0,2.323722245,1.958963117,2.079231911,1.95737739,1.333666885,0,0,1.950975942,2.141176882,0,0,2.777356489,2.424566414,0,1.809717244,2.738082591,2.73474064,0,2.590601112,0,0,0,2.080236746,2.521565627,0,2.072874597,0,0,1.819177263,0,2.471200734,2.3622185,1.504401533,2.327452936,2.161754203,2.322328889,2.252190166,2.263029763,2.466839457
ENSMUSG00000077391,2.380737505,1.796291881,1.517713047,1.777577603,1.902731003,0,0,2.484507681,0,0,2.051673363,0,0,2.41498504,0,2.274109335,1.582916334,0,1.683432506,2.358916613,2.251601724,1.784307685,2.090973643,0,0,0,2.055833032,0,2.146022551,2.496644635,2.130632846,2.754001067,2.032924835,2.29527674,3.016243375,2.187684255,1.94491675,2.693588902,2.458832671,2.94844182,2.954878526,2.919957824,2.231945932,0,0,3.043055609,3.068946139,3.254780026,3.04326401
ENSMUSG00000065262,0,0,0,0,0,0,2.463987001,0,0,0,2.320951789,0,0,2.450205985,2.636893917,0,1.867160368,2.060803569,0,0,0,0,0,0,0,0,2.872952429,0,2.816101375,0,0,2.6673829,0,0,0.048987242,2.256878833,0,0,2.66338616,2.252408804,0,0,0,0,0,2.786421318,0,2.598129263,1.86E-13
ENSMUSG00000094621,2.663073053,2.912573284,2.725837339,2.812339709,0,2.477008323,0,2.999835806,2.646087939,0,0,2.716731846,2.254796934,0,2.507509107,2.588019463,1.977863928,2.823784515,2.669741668,2.929004871,3.020133301,2.676150173,3.03524157,2.885654609,2.52903361,2.602812839,1.867482809,2.443954178,0,0,2.118294494,0,2.497102502,2.16533634,2.50636295,2.185046102,0,2.942904504,2.220884415,2.166607703,0,2.808726687,0,2.912167833,2.084894287,2.183668357,2.351510289,0,2.142686612
ENSMUSG00000065016,1.962198805,1.987309121,2.19245315,2.261731416,2.095416951,0,0,2.075477615,0,2.567208755,0,2.10502964,0,3.01226763,0,0,2.461996464,2.301993061,1.862817476,2.153168275,0,1.67327901,0,2.189843894,0,0,0,0,2.323738732,1.422996698,2.093523242,2.722125303,2.306390712,2.745846618,2.424398092,1.5445988,0,1.959580823,0,0,2.243102568,2.683100196,2.482128644,2.516841982,0,2.713617369,0,0,2.208212862
ENSMUSG00000088958,0,0,0,0,0,0,3.005262042,0,0,0,0,0,2.23428185,0,0,0,0,0,0,0,0,0,0,0,0,2.417363729,0,2.830287702,0,2.023696818,2.17123778,0,0,0,2.563200958,0,1.866044421,2.61571023,0,2.633510873,0,0,0,2.39156667,0,0,2.15755649,3.022729345,2.51184728
